DateTime, ahash_t.total_earned, href_t.total, zpool_t.total
1/19/2018 11:31:48 AM, 0.02124, 0.00120704, 0.00068585
1/19/2018 11:31:56 AM, 0.02124, 0.00120704, 0.00068585
1/19/2018 11:32:05 AM, 0.02124, 0.00120704, 0.00068584
1/19/2018 11:32:13 AM, 0.02124, 0.00120704, 0.00068583
1/19/2018 11:32:21 AM, 0.02124, 0.00120704, 0.00068583
1/19/2018 11:32:29 AM, 0.02124, 0.00120704, 0.00068583
1/19/2018 11:32:37 AM, 0.02124, 0.00120704, 0.00068583
1/19/2018 11:32:45 AM, 0.02124, 0.00120704, 0.00068583
1/19/2018 11:32:54 AM, 0.02124, 0.00120704, 0.00068583
1/19/2018 11:33:02 AM, 0.02124, 0.00120704, 0.00068583
1/19/2018 11:33:10 AM, 0.02124, 0.00120704, 0.00068583
1/19/2018 11:33:18 AM, 0.02124, 0.00120704, 0.00068583
1/19/2018 11:33:27 AM, 0.02124, 0.00120704, 0.00068583
1/19/2018 11:33:35 AM, 0.02124, 0.00120704, 0.00068583
1/19/2018 11:33:43 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:33:51 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:33:59 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:34:07 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:34:15 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:34:23 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:34:31 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:34:39 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:34:48 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:34:56 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:35:04 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:35:12 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:35:20 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:35:29 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:35:37 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:35:45 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:35:53 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:36:01 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:36:09 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:36:17 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:36:25 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:36:33 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:36:42 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:36:50 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:36:58 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:37:06 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:37:14 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:37:23 AM, 0.02124, 0.00120704, 0.00068566
1/19/2018 11:37:31 AM, 0.02124, 0.00120704, 0.00068566
